"Year","Rank","Song Title","Artist(s)"
"01/07/2017","70","Million Reasons","Lady Gaga"
"01/14/2017","83","Million Reasons","Lady Gaga"
"01/21/2017","86","Million Reasons","Lady Gaga"
"01/28/2017","96","Million Reasons","Lady Gaga"
"02/11/2017","97","Million Reasons","Lady Gaga"
"02/25/2017","4","Million Reasons","Lady Gaga"
"02/25/2017","50","Bad Romance","Lady Gaga"
"03/04/2017","18","Million Reasons","Lady Gaga"
"03/11/2017","30","Million Reasons","Lady Gaga"
"03/18/2017","30","Million Reasons","Lady Gaga"
"03/25/2017","29","Million Reasons","Lady Gaga"
"04/01/2017","38","Million Reasons","Lady Gaga"
"04/08/2017","46","Million Reasons","Lady Gaga"
"04/08/2017","54","Glow","Drake Featuring Kanye West"
"04/15/2017","37","Million Reasons","Lady Gaga"
"04/15/2017","89","Glow","Drake Featuring Kanye West"
"04/22/2017","41","Million Reasons","Lady Gaga"
"05/06/2017","39","The Cure","Lady Gaga"
"05/13/2017","62","The Cure","Lady Gaga"
"05/20/2017","55","The Cure","Lady Gaga"
"05/27/2017","49","The Cure","Lady Gaga"
"06/03/2017","53","The Cure","Lady Gaga"
"06/10/2017","57","The Cure","Lady Gaga"
"06/17/2017","51","The Cure","Lady Gaga"
"06/24/2017","46","The Cure","Lady Gaga"
"07/01/2017","48","The Cure","Lady Gaga"
"07/08/2017","57","The Cure","Lady Gaga"
"07/15/2017","46","The Cure","Lady Gaga"
"07/22/2017","50","The Cure","Lady Gaga"
"07/29/2017","84","The Cure","Lady Gaga"
"08/05/2017","87","The Cure","Lady Gaga"
