"Year","Rank","Song Title","Artist(s)"
"01/17/2015","35","Only One","Kanye West Featuring Paul McCartney"
"01/24/2015","54","Only One","Kanye West Featuring Paul McCartney"
"01/31/2015","85","Only One","Kanye West Featuring Paul McCartney"
"02/07/2015","54","FourFiveSeconds","Rihanna & Kanye West & Paul McCartney"
"02/14/2015","15","FourFiveSeconds","Rihanna & Kanye West & Paul McCartney"
"02/14/2015","68","Only One","Kanye West Featuring Paul McCartney"
"02/21/2015","6","FourFiveSeconds","Rihanna & Kanye West & Paul McCartney"
"02/21/2015","69","Only One","Kanye West Featuring Paul McCartney"
"02/28/2015","4","FourFiveSeconds","Rihanna & Kanye West & Paul McCartney"
"02/28/2015","45","Only One","Kanye West Featuring Paul McCartney"
"03/07/2015","6","FourFiveSeconds","Rihanna & Kanye West & Paul McCartney"
"03/07/2015","74","Only One","Kanye West Featuring Paul McCartney"
"03/14/2015","5","FourFiveSeconds","Rihanna & Kanye West & Paul McCartney"
"03/14/2015","80","All Your Fault","Big Sean Featuring Kanye West"
"03/14/2015","92","Only One","Kanye West Featuring Paul McCartney"
"03/14/2015","97","One Man Can Change The World","Big Sean Featuring Kanye West & John Legend"
"03/21/2015","5","FourFiveSeconds","Rihanna & Kanye West & Paul McCartney"
"03/21/2015","15","All Day","Kanye West Featuring Theophilus London, Allan Kingdom & Paul McCartney"
"03/28/2015","5","FourFiveSeconds","Rihanna & Kanye West & Paul McCartney"
"03/28/2015","51","All Day","Kanye West Featuring Theophilus London, Allan Kingdom & Paul McCartney"
"04/04/2015","5","FourFiveSeconds","Rihanna & Kanye West & Paul McCartney"
"04/04/2015","53","All Day","Kanye West Featuring Theophilus London, Allan Kingdom & Paul McCartney"
"04/11/2015","8","FourFiveSeconds","Rihanna & Kanye West & Paul McCartney"
"04/11/2015","62","All Day","Kanye West Featuring Theophilus London, Allan Kingdom & Paul McCartney"
"04/18/2015","9","FourFiveSeconds","Rihanna & Kanye West & Paul McCartney"
"04/18/2015","69","All Day","Kanye West Featuring Theophilus London, Allan Kingdom & Paul McCartney"
"04/25/2015","13","FourFiveSeconds","Rihanna & Kanye West & Paul McCartney"
"04/25/2015","52","All Day","Kanye West Featuring Theophilus London, Allan Kingdom & Paul McCartney"
"05/02/2015","16","FourFiveSeconds","Rihanna & Kanye West & Paul McCartney"
"05/02/2015","61","All Day","Kanye West Featuring Theophilus London, Allan Kingdom & Paul McCartney"
"05/09/2015","26","FourFiveSeconds","Rihanna & Kanye West & Paul McCartney"
"05/09/2015","55","All Day","Kanye West Featuring Theophilus London, Allan Kingdom & Paul McCartney"
"05/16/2015","36","FourFiveSeconds","Rihanna & Kanye West & Paul McCartney"
"05/16/2015","58","All Day","Kanye West Featuring Theophilus London, Allan Kingdom & Paul McCartney"
"05/23/2015","45","FourFiveSeconds","Rihanna & Kanye West & Paul McCartney"
"05/23/2015","59","All Day","Kanye West Featuring Theophilus London, Allan Kingdom & Paul McCartney"
"05/30/2015","55","All Day","Kanye West Featuring Theophilus London, Allan Kingdom & Paul McCartney"
"05/30/2015","56","FourFiveSeconds","Rihanna & Kanye West & Paul McCartney"
"06/06/2015","60","All Day","Kanye West Featuring Theophilus London, Allan Kingdom & Paul McCartney"
"06/06/2015","66","FourFiveSeconds","Rihanna & Kanye West & Paul McCartney"
"06/13/2015","75","FourFiveSeconds","Rihanna & Kanye West & Paul McCartney"
"06/13/2015","79","All Day","Kanye West Featuring Theophilus London, Allan Kingdom & Paul McCartney"
"06/20/2015","76","FourFiveSeconds","Rihanna & Kanye West & Paul McCartney"
"06/20/2015","91","All Day","Kanye West Featuring Theophilus London, Allan Kingdom & Paul McCartney"
"06/27/2015","93","All Day","Kanye West Featuring Theophilus London, Allan Kingdom & Paul McCartney"
"08/01/2015","100","One Man Can Change The World","Big Sean Featuring Kanye West & John Legend"
"08/08/2015","97","One Man Can Change The World","Big Sean Featuring Kanye West & John Legend"
"08/15/2015","100","One Man Can Change The World","Big Sean Featuring Kanye West & John Legend"
"08/22/2015","96","One Man Can Change The World","Big Sean Featuring Kanye West & John Legend"
"08/29/2015","92","One Man Can Change The World","Big Sean Featuring Kanye West & John Legend"
"09/05/2015","92","One Man Can Change The World","Big Sean Featuring Kanye West & John Legend"
"09/12/2015","90","One Man Can Change The World","Big Sean Featuring Kanye West & John Legend"
"09/19/2015","82","One Man Can Change The World","Big Sean Featuring Kanye West & John Legend"
"09/26/2015","94","One Man Can Change The World","Big Sean Featuring Kanye West & John Legend"
"11/21/2015","45","Thriller","Michael Jackson"
