Year,Rank,Song Title,Artist,Album
5/15/04,88,Talk About Our Love,Kanye West,Afrodisiac
5/22/04,7,All Falls Down,Kanye West,The College Dropout
5/22/04,52,Jesus Walks,Kanye West,The College Dropout
5/22/04,67,Talk About Our Love,Kanye West,Afrodisiac
5/22/04,99,Selfish,Kanye West,Detroit Deli
5/29/04,9,All Falls Down,Kanye West,The College Dropout
5/29/04,34,Jesus Walks,Kanye West,The College Dropout
5/29/04,64,Talk About Our Love,Kanye West,Afrodisiac
5/29/04,78,This Way,Kanye West,Neighborhood Watch
5/29/04,98,Selfish,Kanye West,Detroit Deli
6/5/04,11,All Falls Down,Kanye West,The College Dropout
6/5/04,29,Jesus Walks,Kanye West,The College Dropout
6/5/04,56,Talk About Our Love,Kanye West,Afrodisiac
6/5/04,84,This Way,Kanye West,Neighborhood Watch
6/5/04,91,Selfish,Kanye West,Detroit Deli
6/12/04,12,All Falls Down,Kanye West,The College Dropout
6/12/04,22,Jesus Walks,Kanye West,The College Dropout
6/12/04,36,Talk About Our Love,Kanye West,Afrodisiac
6/12/04,83,This Way,Kanye West,Neighborhood Watch
6/12/04,91,Selfish,Kanye West,Detroit Deli
6/19/04,12,All Falls Down,Kanye West,The College Dropout
6/19/04,18,Jesus Walks,Kanye West,The College Dropout
6/19/04,47,Talk About Our Love,Kanye West,Afrodisiac
6/19/04,80,Selfish,Kanye West,Detroit Deli
6/19/04,83,This Way,Kanye West,Neighborhood Watch
6/26/04,15,All Falls Down,Kanye West,The College Dropout
6/26/04,16,Jesus Walks,Kanye West,The College Dropout
6/26/04,39,Talk About Our Love,Kanye West,Afrodisiac
6/26/04,80,Selfish,Kanye West,Detroit Deli
6/26/04,100,This Way,Kanye West,Neighborhood Watch
7/3/04,16,Jesus Walks,Kanye West,The College Dropout
7/3/04,23,All Falls Down,Kanye West,The College Dropout
7/3/04,52,Talk About Our Love,Kanye West,Afrodisiac
7/3/04,67,Selfish,Kanye West,Detroit Deli
7/10/04,16,Jesus Walks,Kanye West,The College Dropout
7/10/04,44,All Falls Down,Kanye West,The College Dropout
7/10/04,50,Talk About Our Love,Kanye West,Afrodisiac
7/10/04,67,Selfish,Kanye West,Detroit Deli
7/17/04,16,Jesus Walks,Kanye West,The College Dropout
7/17/04,54,All Falls Down,Kanye West,The College Dropout
7/17/04,59,Talk About Our Love,Kanye West,Afrodisiac
7/17/04,69,Selfish,Kanye West,Detroit Deli
7/24/04,14,Jesus Walks,Kanye West,The College Dropout
7/24/04,49,All Falls Down,Kanye West,The College Dropout
7/24/04,65,Selfish,Kanye West,Detroit Deli
7/24/04,79,Talk About Our Love,Kanye West,Afrodisiac
7/31/04,11,Jesus Walks,Kanye West,The College Dropout
7/31/04,64,Selfish,Kanye West,Detroit Deli
7/31/04,87,Talk About Our Love,Kanye West,Afrodisiac
8/7/04,11,Jesus Walks,Kanye West,The College Dropout
8/7/04,59,Selfish,Kanye West,Detroit Deli
8/7/04,100,Talk About Our Love,Kanye West,Afrodisiac
8/14/04,14,Jesus Walks,Kanye West,The College Dropout
8/14/04,55,Selfish,Kanye West,Detroit Deli
8/14/04,94,Talk About Our Love,Kanye West,Afrodisiac
8/21/04,14,Jesus Walks,Kanye West,The College Dropout
8/21/04,60,Selfish,Kanye West,Detroit Deli
8/28/04,18,Jesus Walks,Kanye West,The College Dropout
8/28/04,65,Selfish,Kanye West,Detroit Deli
9/4/04,20,Jesus Walks,Kanye West,The College Dropout
9/4/04,82,Selfish,Kanye West,Detroit Deli
9/11/04,24,Jesus Walks,Kanye West,The College Dropout
9/11/04,96,Selfish,Kanye West,Detroit Deli
9/18/04,27,Jesus Walks,Kanye West,The College Dropout
9/25/04,28,Jesus Walks,Kanye West,The College Dropout
10/2/04,34,Jesus Walks,Kanye West,The College Dropout
10/9/04,39,Jesus Walks,Kanye West,The College Dropout
10/16/04,47,Jesus Walks,Kanye West,The College Dropout
10/23/04,50,Jesus Walks,Kanye West,The College Dropout
2/19/05,94,Down And Out,Kanye West,Purple Haze
5/21/05,94,Diamonds From Sierra Leone,Kanye West,Late Registration
5/28/05,86,Diamonds From Sierra Leone,Kanye West,Late Registration
6/4/05,83,Diamonds From Sierra Leone,Kanye West,Late Registration
6/11/05,94,Diamonds From Sierra Leone,Kanye West,Late Registration
6/18/05,58,Diamonds From Sierra Leone,Kanye West,Late Registration
6/25/05,63,Diamonds From Sierra Leone,Kanye West,Late Registration
7/2/05,63,Diamonds From Sierra Leone,Kanye West,Late Registration
7/9/05,64,Diamonds From Sierra Leone,Kanye West,Late Registration
7/16/05,62,Diamonds From Sierra Leone,Kanye West,Late Registration
7/23/05,66,Diamonds From Sierra Leone,Kanye West,Late Registration
7/30/05,69,Diamonds From Sierra Leone,Kanye West,Late Registration
7/30/05,92,Gold Digger,Kanye West,Late Registration
8/6/05,43,Diamonds From Sierra Leone,Kanye West,Late Registration
8/6/05,75,Gold Digger,Kanye West,Late Registration
8/13/05,50,Diamonds From Sierra Leone,Kanye West,Late Registration
8/13/05,62,Gold Digger,Kanye West,Late Registration
8/20/05,47,Gold Digger,Kanye West,Late Registration
8/20/05,73,Diamonds From Sierra Leone,Kanye West,Late Registration
8/27/05,30,Gold Digger,Kanye West,Late Registration
8/27/05,86,Diamonds From Sierra Leone,Kanye West,Late Registration
9/3/05,27,Gold Digger,Kanye West,Late Registration
9/3/05,85,Diamonds From Sierra Leone,Kanye West,Late Registration
9/10/05,19,Gold Digger,Kanye West,Late Registration
9/10/05,91,Diamonds From Sierra Leone,Kanye West,Late Registration
9/17/05,1,Gold Digger,Kanye West,Late Registration
9/17/05,51,Diamonds From Sierra Leone,Kanye West,Late Registration
9/24/05,1,Gold Digger,Kanye West,Late Registration
9/24/05,73,Diamonds From Sierra Leone,Kanye West,Late Registration
10/1/05,1,Gold Digger,Kanye West,Late Registration
10/8/05,1,Gold Digger,Kanye West,Late Registration
10/15/05,1,Gold Digger,Kanye West,Late Registration
10/22/05,1,Gold Digger,Kanye West,Late Registration
10/29/05,1,Gold Digger,Kanye West,Late Registration
10/29/05,100,Heard 'Em Say,Kanye West,Late Registration
11/5/05,1,Gold Digger,Kanye West,Late Registration
11/5/05,67,Heard 'Em Say,Kanye West,Late Registration
11/12/05,1,Gold Digger,Kanye West,Late Registration
11/12/05,56,Heard 'Em Say,Kanye West,Late Registration
11/19/05,1,Gold Digger,Kanye West,Late Registration
11/19/05,47,Heard 'Em Say,Kanye West,Late Registration
11/26/05,2,Gold Digger,Kanye West,Late Registration
11/26/05,43,Heard 'Em Say,Kanye West,Late Registration
12/3/05,2,Gold Digger,Kanye West,Late Registration
12/3/05,38,Heard 'Em Say,Kanye West,Late Registration
12/10/05,2,Gold Digger,Kanye West,Late Registration
12/10/05,35,Heard 'Em Say,Kanye West,Late Registration
12/17/05,3,Gold Digger,Kanye West,Late Registration
12/17/05,26,Heard 'Em Say,Kanye West,Late Registration
12/24/05,6,Gold Digger,Kanye West,Late Registration
12/24/05,26,Heard 'Em Say,Kanye West,Late Registration
12/31/05,7,Gold Digger,Kanye West,Late Registration
12/31/05,28,Heard 'Em Say,Kanye West,Late Registration
1/7/06,8,Gold Digger,Kanye West,Late Registration
1/7/06,35,Heard 'Em Say,Kanye West,Late Registration
1/14/06,4,Gold Digger,Kanye West,Late Registration
1/14/06,40,Heard 'Em Say,Kanye West,Late Registration
1/21/06,7,Gold Digger,Kanye West,Late Registration
1/21/06,45,Heard 'Em Say,Kanye West,Late Registration
1/28/06,12,Gold Digger,Kanye West,Late Registration
1/28/06,58,Heard 'Em Say,Kanye West,Late Registration
2/4/06,17,Gold Digger,Kanye West,Late Registration
2/4/06,71,Heard 'Em Say,Kanye West,Late Registration
2/11/06,22,Gold Digger,Kanye West,Late Registration
2/11/06,91,Heard 'Em Say,Kanye West,Late Registration
2/18/06,22,Gold Digger,Kanye West,Late Registration
2/25/06,18,Gold Digger,Kanye West,Late Registration
2/25/06,90,Touch The Sky,Kanye West,Late Registration
3/4/06,21,Gold Digger,Kanye West,Late Registration
3/4/06,70,Touch The Sky,Kanye West,Late Registration
3/11/06,23,Gold Digger,Kanye West,Late Registration
3/11/06,52,Touch The Sky,Kanye West,Late Registration
3/18/06,29,Gold Digger,Kanye West,Late Registration
3/18/06,47,Touch The Sky,Kanye West,Late Registration
3/25/06,34,Gold Digger,Kanye West,Late Registration
3/25/06,42,Touch The Sky,Kanye West,Late Registration
4/1/06,39,Gold Digger,Kanye West,Late Registration
4/1/06,47,Touch The Sky,Kanye West,Late Registration
4/8/06,43,Gold Digger,Kanye West,Late Registration
4/8/06,52,Touch The Sky,Kanye West,Late Registration
4/15/06,44,Gold Digger,Kanye West,Late Registration
4/15/06,69,Touch The Sky,Kanye West,Late Registration
4/22/06,50,Gold Digger,Kanye West,Late Registration
4/22/06,87,Touch The Sky,Kanye West,Late Registration
8/5/06,97,Number One,Kanye West,In My Mind
8/12/06,57,Number One,Kanye West,In My Mind
8/19/06,88,Number One,Kanye West,In My Mind
2/17/07,92,Wouldn't Get Far,Kanye West,None
2/24/07,73,Wouldn't Get Far,Kanye West,None
3/3/07,72,Wouldn't Get Far,Kanye West,None
3/10/07,70,Wouldn't Get Far,Kanye West,None
3/17/07,68,Wouldn't Get Far,Kanye West,None
3/24/07,68,Wouldn't Get Far,Kanye West,None
3/31/07,64,Wouldn't Get Far,Kanye West,None
4/7/07,82,Wouldn't Get Far,Kanye West,None
4/14/07,93,Wouldn't Get Far,Kanye West,None
6/16/07,80,Can't Tell Me Nothing,Kanye West,Graduation
6/23/07,96,Can't Tell Me Nothing,Kanye West,Graduation
8/4/07,96,Can't Tell Me Nothing,Kanye West,Graduation
8/11/07,47,Stronger,Kanye West,Graduation
8/11/07,94,Can't Tell Me Nothing,Kanye West,Graduation
8/18/07,6,Stronger,Kanye West,Graduation
8/18/07,91,Can't Tell Me Nothing,Kanye West,Graduation
8/25/07,6,Stronger,Kanye West,Graduation
8/25/07,85,Can't Tell Me Nothing,Kanye West,Graduation
9/1/07,5,Stronger,Kanye West,Graduation
9/1/07,88,Can't Tell Me Nothing,Kanye West,Graduation
9/8/07,3,Stronger,Kanye West,Graduation
9/8/07,79,Can't Tell Me Nothing,Kanye West,Graduation
9/15/07,2,Stronger,Kanye West,Graduation
9/15/07,62,Can't Tell Me Nothing,Kanye West,Graduation
9/22/07,2,Stronger,Kanye West,Graduation
9/22/07,57,Can't Tell Me Nothing,Kanye West,Graduation
9/29/07,1,Stronger,Kanye West,Graduation
9/29/07,14,Good Life,Kanye West,Graduation
9/29/07,41,Can't Tell Me Nothing,Kanye West,Graduation
10/6/07,2,Stronger,Kanye West,Graduation
10/6/07,13,Good Life,Kanye West,Graduation
10/6/07,54,Can't Tell Me Nothing,Kanye West,Graduation
10/13/07,2,Stronger,Kanye West,Graduation
10/13/07,18,Good Life,Kanye West,Graduation
10/13/07,72,Can't Tell Me Nothing,Kanye West,Graduation
10/20/07,2,Stronger,Kanye West,Graduation
10/20/07,10,Good Life,Kanye West,Graduation
10/20/07,79,Can't Tell Me Nothing,Kanye West,Graduation
10/27/07,2,Stronger,Kanye West,Graduation
10/27/07,10,Good Life,Kanye West,Graduation
10/27/07,85,Can't Tell Me Nothing,Kanye West,Graduation
11/3/07,6,Stronger,Kanye West,Graduation
11/3/07,8,Good Life,Kanye West,Graduation
11/3/07,86,Can't Tell Me Nothing,Kanye West,Graduation
11/10/07,6,Stronger,Kanye West,Graduation
11/10/07,7,Good Life,Kanye West,Graduation
11/10/07,88,Can't Tell Me Nothing,Kanye West,Graduation
11/17/07,6,Stronger,Kanye West,Graduation
11/17/07,8,Good Life,Kanye West,Graduation
11/17/07,92,Can't Tell Me Nothing,Kanye West,Graduation
11/24/07,7,Good Life,Kanye West,Graduation
11/24/07,9,Stronger,Kanye West,Graduation
11/24/07,97,Can't Tell Me Nothing,Kanye West,Graduation
12/1/07,7,Good Life,Kanye West,Graduation
12/1/07,10,Stronger,Kanye West,Graduation
12/8/07,8,Good Life,Kanye West,Graduation
12/8/07,13,Stronger,Kanye West,Graduation
12/8/07,75,Flashing Lights,Kanye West,Graduation
12/15/07,7,Good Life,Kanye West,Graduation
12/15/07,13,Stronger,Kanye West,Graduation
12/15/07,57,Flashing Lights,Kanye West,Graduation
12/22/07,9,Good Life,Kanye West,Graduation
12/22/07,13,Stronger,Kanye West,Graduation
12/22/07,50,Flashing Lights,Kanye West,Graduation
12/29/07,10,Good Life,Kanye West,Graduation
12/29/07,17,Stronger,Kanye West,Graduation
12/29/07,39,Flashing Lights,Kanye West,Graduation
1/5/08,14,Good Life,Kanye West,Graduation
1/5/08,20,Stronger,Kanye West,Graduation
1/5/08,36,Flashing Lights,Kanye West,Graduation
1/12/08,14,Stronger,Kanye West,Graduation
1/12/08,16,Good Life,Kanye West,Graduation
1/12/08,49,Flashing Lights,Kanye West,Graduation
1/19/08,19,Good Life,Kanye West,Graduation
1/19/08,22,Stronger,Kanye West,Graduation
1/19/08,35,Flashing Lights,Kanye West,Graduation
1/26/08,25,Good Life,Kanye West,Graduation
1/26/08,30,Flashing Lights,Kanye West,Graduation
1/26/08,34,Stronger,Kanye West,Graduation
2/2/08,29,Flashing Lights,Kanye West,Graduation
2/2/08,32,Good Life,Kanye West,Graduation
2/2/08,38,Stronger,Kanye West,Graduation
2/9/08,30,Flashing Lights,Kanye West,Graduation
2/9/08,37,Good Life,Kanye West,Graduation
2/9/08,46,Stronger,Kanye West,Graduation
2/16/08,33,Flashing Lights,Kanye West,Graduation
2/16/08,50,Good Life,Kanye West,Graduation
2/23/08,36,Flashing Lights,Kanye West,Graduation
3/1/08,33,Flashing Lights,Kanye West,Graduation
3/8/08,38,Flashing Lights,Kanye West,Graduation
3/15/08,37,Flashing Lights,Kanye West,Graduation
3/22/08,46,Flashing Lights,Kanye West,Graduation
3/29/08,54,Flashing Lights,Kanye West,Graduation
4/5/08,62,Flashing Lights,Kanye West,Graduation
4/12/08,62,Flashing Lights,Kanye West,Graduation
4/19/08,64,Flashing Lights,Kanye West,Graduation
5/3/08,98,American Boy,Kanye West,Shine
5/10/08,93,American Boy,Kanye West,Shine
5/17/08,71,American Boy,Kanye West,Shine
5/24/08,64,American Boy,Kanye West,Shine
5/31/08,63,American Boy,Kanye West,Shine
6/7/08,65,American Boy,Kanye West,Shine
6/7/08,96,Homecoming,Kanye West,Graduation
6/14/08,54,American Boy,Kanye West,Shine
6/14/08,83,Homecoming,Kanye West,Graduation
6/21/08,36,Put On,Kanye West,The Recession
6/21/08,52,American Boy,Kanye West,Shine
6/21/08,71,Homecoming,Kanye West,Graduation
6/28/08,35,American Boy,Kanye West,Shine
6/28/08,48,Put On,Kanye West,The Recession
6/28/08,69,Homecoming,Kanye West,Graduation
7/5/08,37,American Boy,Kanye West,Shine
7/5/08,58,Put On,Kanye West,The Recession
7/5/08,73,Homecoming,Kanye West,Graduation
7/12/08,41,American Boy,Kanye West,Shine
7/12/08,47,Put On,Kanye West,The Recession
7/12/08,78,Homecoming,Kanye West,Graduation
7/19/08,40,American Boy,Kanye West,Shine
7/19/08,42,Put On,Kanye West,The Recession
7/19/08,100,Homecoming,Kanye West,Graduation
7/26/08,31,American Boy,Kanye West,Shine
7/26/08,35,Put On,Kanye West,The Recession
8/2/08,26,American Boy,Kanye West,Shine
8/2/08,28,Put On,Kanye West,The Recession
8/9/08,16,American Boy,Kanye West,Shine
8/9/08,24,Put On,Kanye West,The Recession
8/16/08,12,American Boy,Kanye West,Shine
8/16/08,22,Put On,Kanye West,The Recession
8/23/08,12,American Boy,Kanye West,Shine
8/23/08,18,Put On,Kanye West,The Recession
8/30/08,11,American Boy,Kanye West,Shine
8/30/08,13,Put On,Kanye West,The Recession
9/6/08,12,Put On,Kanye West,The Recession
9/6/08,37,American Boy,Kanye West,Shine
9/13/08,12,Put On,Kanye West,The Recession
9/13/08,57,American Boy,Kanye West,Shine
9/20/08,18,Put On,Kanye West,The Recession
9/20/08,53,American Boy,Kanye West,Shine
9/27/08,5,Swagga Like Us,Kanye West,Paper Trail
9/27/08,9,American Boy,Kanye West,Shine
9/27/08,24,Put On,Kanye West,The Recession
10/4/08,3,Love Lockdown,Kanye West,808s & Heartbreak
10/4/08,10,American Boy,Kanye West,Shine
10/4/08,22,Swagga Like Us,Kanye West,Paper Trail
10/4/08,28,Put On,Kanye West,The Recession
10/4/08,69,Go Hard,Kanye West,We Global
10/11/08,3,Love Lockdown,Kanye West,808s & Heartbreak
10/11/08,10,American Boy,Kanye West,Shine
10/11/08,26,Swagga Like Us,Kanye West,Paper Trail
10/11/08,33,Put On,Kanye West,The Recession
10/18/08,15,Love Lockdown,Kanye West,808s & Heartbreak
10/18/08,24,American Boy,Kanye West,Shine
10/18/08,31,Swagga Like Us,Kanye West,Paper Trail
10/18/08,45,Put On,Kanye West,The Recession
10/25/08,12,Love Lockdown,Kanye West,808s & Heartbreak
10/25/08,28,American Boy,Kanye West,Shine
10/25/08,32,Swagga Like Us,Kanye West,Paper Trail
10/25/08,51,Put On,Kanye West,The Recession
11/1/08,12,Love Lockdown,Kanye West,808s & Heartbreak
11/1/08,31,American Boy,Kanye West,Shine
11/1/08,32,Swagga Like Us,Kanye West,Paper Trail
11/1/08,53,Put On,Kanye West,The Recession
11/8/08,12,Love Lockdown,Kanye West,808s & Heartbreak
11/8/08,30,Swagga Like Us,Kanye West,Paper Trail
11/8/08,35,American Boy,Kanye West,Shine
11/15/08,14,Love Lockdown,Kanye West,808s & Heartbreak
11/15/08,30,Swagga Like Us,Kanye West,Paper Trail
11/15/08,40,American Boy,Kanye West,Shine
11/22/08,4,Heartless,Kanye West,808s & Heartbreak
11/22/08,13,Love Lockdown,Kanye West,808s & Heartbreak
11/22/08,28,Swagga Like Us,Kanye West,Paper Trail
11/22/08,48,American Boy,Kanye West,Shine
11/29/08,9,Love Lockdown,Kanye West,808s & Heartbreak
11/29/08,12,Heartless,Kanye West,808s & Heartbreak
11/29/08,30,Swagga Like Us,Kanye West,Paper Trail
12/6/08,6,Love Lockdown,Kanye West,808s & Heartbreak
12/6/08,21,Heartless,Kanye West,808s & Heartbreak
12/6/08,32,Swagga Like Us,Kanye West,Paper Trail
12/13/08,13,Love Lockdown,Kanye West,808s & Heartbreak
12/13/08,19,Heartless,Kanye West,808s & Heartbreak
12/13/08,21,See You In My Nightmares,Kanye West,808s & Heartbreak
12/13/08,37,Swagga Like Us,Kanye West,Paper Trail
12/13/08,89,Amazing,Kanye West,808s & Heartbreak
12/20/08,8,Love Lockdown,Kanye West,808s & Heartbreak
12/20/08,16,Heartless,Kanye West,808s & Heartbreak
12/20/08,42,Swagga Like Us,Kanye West,Paper Trail
12/20/08,69,See You In My Nightmares,Kanye West,808s & Heartbreak
12/27/08,7,Heartless,Kanye West,808s & Heartbreak
12/27/08,10,Love Lockdown,Kanye West,808s & Heartbreak
12/27/08,52,Swagga Like Us,Kanye West,Paper Trail
12/27/08,98,See You In My Nightmares,Kanye West,808s & Heartbreak
1/3/09,4,Heartless,Kanye West,808s & Heartbreak
1/3/09,8,Love Lockdown,Kanye West,808s & Heartbreak
1/3/09,51,Swagga Like Us,Kanye West,Paper Trail
1/10/09,4,Heartless,Kanye West,808s & Heartbreak
1/10/09,8,Love Lockdown,Kanye West,808s & Heartbreak
1/10/09,47,Swagga Like Us,Kanye West,Paper Trail
1/10/09,92,See You In My Nightmares,Kanye West,808s & Heartbreak
1/17/09,5,Heartless,Kanye West,808s & Heartbreak
1/17/09,10,Love Lockdown,Kanye West,808s & Heartbreak
1/17/09,50,Swagga Like Us,Kanye West,Paper Trail
1/24/09,3,Heartless,Kanye West,808s & Heartbreak
1/24/09,12,Love Lockdown,Kanye West,808s & Heartbreak
1/24/09,70,Swagga Like Us,Kanye West,Paper Trail
1/24/09,100,Go Hard,Kanye West,We Global
1/31/09,3,Heartless,Kanye West,808s & Heartbreak
1/31/09,13,Love Lockdown,Kanye West,808s & Heartbreak
1/31/09,80,Swagga Like Us,Kanye West,Paper Trail
2/7/09,4,Heartless,Kanye West,808s & Heartbreak
2/7/09,21,Love Lockdown,Kanye West,808s & Heartbreak
2/7/09,100,Swagga Like Us,Kanye West,Paper Trail
2/14/09,3,Heartless,Kanye West,808s & Heartbreak
2/14/09,25,Love Lockdown,Kanye West,808s & Heartbreak
2/21/09,2,Heartless,Kanye West,808s & Heartbreak
2/21/09,33,Love Lockdown,Kanye West,808s & Heartbreak
2/28/09,4,Heartless,Kanye West,808s & Heartbreak
2/28/09,38,Love Lockdown,Kanye West,808s & Heartbreak
3/7/09,3,Heartless,Kanye West,808s & Heartbreak
3/7/09,42,Love Lockdown,Kanye West,808s & Heartbreak
3/14/09,6,Heartless,Kanye West,808s & Heartbreak
3/21/09,8,Heartless,Kanye West,808s & Heartbreak
3/28/09,7,Heartless,Kanye West,808s & Heartbreak
4/4/09,8,Heartless,Kanye West,808s & Heartbreak
4/11/09,16,Heartless,Kanye West,808s & Heartbreak
4/11/09,65,Knock You Down,Kanye West,In A Perfect World...
4/18/09,19,Heartless,Kanye West,808s & Heartbreak
4/18/09,54,Knock You Down,Kanye West,In A Perfect World...
4/25/09,19,Heartless,Kanye West,808s & Heartbreak
4/25/09,46,Knock You Down,Kanye West,In A Perfect World...
5/2/09,32,Heartless,Kanye West,808s & Heartbreak
5/2/09,39,Knock You Down,Kanye West,In A Perfect World...
5/9/09,26,Knock You Down,Kanye West,In A Perfect World...
5/9/09,33,Heartless,Kanye West,808s & Heartbreak
5/16/09,22,Knock You Down,Kanye West,In A Perfect World...
5/16/09,33,Heartless,Kanye West,808s & Heartbreak
5/23/09,17,Knock You Down,Kanye West,In A Perfect World...
5/23/09,45,Heartless,Kanye West,808s & Heartbreak
5/23/09,81,Amazing,Kanye West,808s & Heartbreak
5/30/09,14,Knock You Down,Kanye West,In A Perfect World...
5/30/09,35,Heartless,Kanye West,808s & Heartbreak
5/30/09,82,Amazing,Kanye West,808s & Heartbreak
6/6/09,13,Knock You Down,Kanye West,In A Perfect World...
6/6/09,48,Heartless,Kanye West,808s & Heartbreak
6/6/09,99,Amazing,Kanye West,808s & Heartbreak
6/13/09,7,Knock You Down,Kanye West,In A Perfect World...
6/13/09,51,Heartless,Kanye West,808s & Heartbreak
6/13/09,86,Amazing,Kanye West,808s & Heartbreak
6/13/09,100,Walkin' On The Moon,Kanye West,Love Vs Money
6/20/09,3,Knock You Down,Kanye West,In A Perfect World...
6/20/09,93,Walkin' On The Moon,Kanye West,Love Vs Money
6/27/09,3,Knock You Down,Kanye West,In A Perfect World...
6/27/09,51,Make Her Say,Kanye West,Man On The Moon: The End Of Day
6/27/09,87,Walkin' On The Moon,Kanye West,Love Vs Money
7/4/09,4,Knock You Down,Kanye West,In A Perfect World...
7/4/09,80,Make Her Say,Kanye West,Man On The Moon: The End Of Day
7/4/09,92,Walkin' On The Moon,Kanye West,Love Vs Money
7/11/09,4,Knock You Down,Kanye West,In A Perfect World...
7/11/09,89,Make Her Say,Kanye West,Man On The Moon: The End Of Day
7/11/09,91,Walkin' On The Moon,Kanye West,Love Vs Money
7/18/09,4,Knock You Down,Kanye West,In A Perfect World...
7/18/09,87,Make Her Say,Kanye West,Man On The Moon: The End Of Day
7/18/09,100,Walkin' On The Moon,Kanye West,Love Vs Money
7/25/09,4,Knock You Down,Kanye West,In A Perfect World...
7/25/09,91,Make Her Say,Kanye West,Man On The Moon: The End Of Day
7/25/09,98,Walkin' On The Moon,Kanye West,Love Vs Money
8/1/09,4,Knock You Down,Kanye West,In A Perfect World...
8/1/09,75,Make Her Say,Kanye West,Man On The Moon: The End Of Day
8/1/09,100,Walkin' On The Moon,Kanye West,Love Vs Money
8/8/09,3,Knock You Down,Kanye West,In A Perfect World...
8/8/09,51,Make Her Say,Kanye West,Man On The Moon: The End Of Day
8/8/09,91,Walkin' On The Moon,Kanye West,Love Vs Money
8/15/09,4,Knock You Down,Kanye West,In A Perfect World...
8/15/09,50,Make Her Say,Kanye West,Man On The Moon: The End Of Day
8/22/09,4,Knock You Down,Kanye West,In A Perfect World...
8/22/09,43,Make Her Say,Kanye West,Man On The Moon: The End Of Day
8/29/09,8,Knock You Down,Kanye West,In A Perfect World...
8/29/09,47,Make Her Say,Kanye West,Man On The Moon: The End Of Day
9/5/09,8,Knock You Down,Kanye West,In A Perfect World...
9/5/09,47,Make Her Say,Kanye West,Man On The Moon: The End Of Day
9/12/09,8,Knock You Down,Kanye West,In A Perfect World...
9/12/09,51,Make Her Say,Kanye West,Man On The Moon: The End Of Day
9/19/09,11,Knock You Down,Kanye West,In A Perfect World...
