Year,Rank,Song Title,Artist,Album
11/29/03,94,Through The Wire,Kanye West,The College Dropout
12/6/03,62,Slow Jamz,Kanye West,The College Dropout
12/6/03,89,Through The Wire,Kanye West,The College Dropout
12/13/03,46,Slow Jamz,Kanye West,The College Dropout
12/13/03,74,Through The Wire,Kanye West,The College Dropout
12/20/03,26,Slow Jamz,Kanye West,The College Dropout
12/20/03,52,Through The Wire,Kanye West,The College Dropout
12/27/03,18,Slow Jamz,Kanye West,The College Dropout
12/27/03,39,Through The Wire,Kanye West,The College Dropout
1/3/04,9,Slow Jamz,Kanye West,The College Dropout
1/3/04,33,Through The Wire,Kanye West,The College Dropout
1/10/04,9,Slow Jamz,Kanye West,The College Dropout
1/10/04,31,Through The Wire,Kanye West,The College Dropout
1/17/04,8,Slow Jamz,Kanye West,The College Dropout
1/17/04,31,Through The Wire,Kanye West,The College Dropout
1/24/04,5,Slow Jamz,Kanye West,The College Dropout
1/24/04,26,Through The Wire,Kanye West,The College Dropout
1/31/04,4,Slow Jamz,Kanye West,The College Dropout
1/31/04,19,Through The Wire,Kanye West,The College Dropout
2/7/04,3,Slow Jamz,Kanye West,The College Dropout
2/7/04,16,Through The Wire,Kanye West,The College Dropout
2/14/04,2,Slow Jamz,Kanye West,The College Dropout
2/14/04,15,Through The Wire,Kanye West,The College Dropout
2/21/04,1,Slow Jamz,Kanye West,The College Dropout
2/21/04,15,Through The Wire,Kanye West,The College Dropout
2/28/04,2,Slow Jamz,Kanye West,The College Dropout
2/28/04,15,Through The Wire,Kanye West,The College Dropout
3/6/04,2,Slow Jamz,Kanye West,The College Dropout
3/6/04,15,Through The Wire,Kanye West,The College Dropout
3/13/04,3,Slow Jamz,Kanye West,The College Dropout
3/13/04,15,Through The Wire,Kanye West,The College Dropout
3/13/04,75,All Falls Down,Kanye West,The College Dropout
3/20/04,3,Slow Jamz,Kanye West,The College Dropout
3/20/04,20,Through The Wire,Kanye West,The College Dropout
3/20/04,60,All Falls Down,Kanye West,The College Dropout
3/27/04,5,Slow Jamz,Kanye West,The College Dropout
3/27/04,26,Through The Wire,Kanye West,The College Dropout
3/27/04,46,All Falls Down,Kanye West,The College Dropout
4/3/04,12,Slow Jamz,Kanye West,The College Dropout
4/3/04,31,All Falls Down,Kanye West,The College Dropout
4/3/04,38,Through The Wire,Kanye West,The College Dropout
4/10/04,16,Slow Jamz,Kanye West,The College Dropout
4/10/04,18,All Falls Down,Kanye West,The College Dropout
4/10/04,42,Through The Wire,Kanye West,The College Dropout
4/17/04,14,All Falls Down,Kanye West,The College Dropout
4/17/04,28,Slow Jamz,Kanye West,The College Dropout
4/17/04,47,Through The Wire,Kanye West,The College Dropout
4/24/04,11,All Falls Down,Kanye West,The College Dropout
4/24/04,37,Slow Jamz,Kanye West,The College Dropout
5/1/04,9,All Falls Down,Kanye West,The College Dropout
5/1/04,45,Slow Jamz,Kanye West,The College Dropout
5/8/04,10,All Falls Down,Kanye West,The College Dropout
5/8/04,68,Jesus Walks,Kanye West,The College Dropout
5/15/04,11,All Falls Down,Kanye West,The College Dropout
5/15/04,62,Jesus Walks,Kanye West,The College Dropout
