"Year","Rank","Song Title","Artist(s)"
"01/03/1976","81","Bohemian Rhapsody","Queen"
"01/10/1976","71","Bohemian Rhapsody","Queen"
"01/17/1976","59","Bohemian Rhapsody","Queen"
"01/24/1976","49","Bohemian Rhapsody","Queen"
"01/31/1976","43","Bohemian Rhapsody","Queen"
"02/07/1976","38","Bohemian Rhapsody","Queen"
"02/14/1976","33","Bohemian Rhapsody","Queen"
"02/21/1976","31","Bohemian Rhapsody","Queen"
"02/28/1976","29","Bohemian Rhapsody","Queen"
"03/06/1976","25","Bohemian Rhapsody","Queen"
"03/13/1976","22","Bohemian Rhapsody","Queen"
"03/20/1976","19","Bohemian Rhapsody","Queen"
"03/27/1976","17","Bohemian Rhapsody","Queen"
"04/03/1976","15","Bohemian Rhapsody","Queen"
"04/10/1976","12","Bohemian Rhapsody","Queen"
"04/17/1976","10","Bohemian Rhapsody","Queen"
"04/24/1976","9","Bohemian Rhapsody","Queen"
"05/01/1976","9","Bohemian Rhapsody","Queen"
"05/08/1976","11","Bohemian Rhapsody","Queen"
"05/15/1976","19","Bohemian Rhapsody","Queen"
"05/22/1976","27","Bohemian Rhapsody","Queen"
"05/22/1976","78","You're My Best Friend","Queen"
"05/29/1976","39","Bohemian Rhapsody","Queen"
"05/29/1976","66","You're My Best Friend","Queen"
"06/05/1976","46","You're My Best Friend","Queen"
"06/05/1976","59","Bohemian Rhapsody","Queen"
"06/12/1976","32","You're My Best Friend","Queen"
"06/12/1976","93","Bohemian Rhapsody","Queen"
"06/19/1976","27","You're My Best Friend","Queen"
"06/26/1976","23","You're My Best Friend","Queen"
"07/03/1976","21","You're My Best Friend","Queen"
"07/10/1976","20","You're My Best Friend","Queen"
"07/17/1976","18","You're My Best Friend","Queen"
"07/24/1976","17","You're My Best Friend","Queen"
"07/31/1976","16","You're My Best Friend","Queen"
"08/07/1976","16","You're My Best Friend","Queen"
"08/14/1976","24","You're My Best Friend","Queen"
"08/21/1976","39","You're My Best Friend","Queen"
"08/28/1976","42","You're My Best Friend","Queen"
"09/04/1976","59","You're My Best Friend","Queen"
"11/27/1976","45","Somebody To Love","Queen"
"02/05/1977","16","Somebody To Love","Queen"
"03/19/1977","80","Tie Your Mother Down","Queen"
"03/26/1977","70","Tie Your Mother Down","Queen"
"04/02/1977","59","Tie Your Mother Down","Queen"
"04/09/1977","49","Tie Your Mother Down","Queen"
"04/16/1977","49","Tie Your Mother Down","Queen"
"04/23/1977","66","Tie Your Mother Down","Queen"
"10/22/1977","87","We Are The Champions","Queen"
"10/29/1977","75","We Are The Champions","Queen"
"11/05/1977","62","We Are The Champions","Queen"
"11/12/1977","51","We Are The Champions","Queen"
"11/19/1977","41","We Are The Champions","Queen"
"11/26/1977","35","We Are The Champions","Queen"
"12/03/1977","31","We Are The Champions","Queen"
"12/10/1977","26","We Are The Champions","Queen"
"12/17/1977","22","We Are The Champions","Queen"
"12/24/1977","18","We Are The Champions","Queen"
"12/31/1977","18","We Are The Champions","Queen"
"01/07/1978","13","We Are The Champions","Queen"
"01/14/1978","10","We Are The Champions","Queen"
"01/21/1978","8","We Are The Champions","Queen"
"01/28/1978","6","We Are The Champions","Queen"
"02/04/1978","4","We Are The Champions","Queen"
"02/11/1978","4","We Are The Champions","Queen"
"02/18/1978","4","We Are The Champions","Queen"
"02/25/1978","7","We Are The Champions","Queen"
"03/04/1978","11","We Are The Champions","Queen"
"03/11/1978","26","We Are The Champions","Queen"
"03/18/1978","36","We Are The Champions","Queen"
"03/25/1978","48","We Are The Champions","Queen"
"04/01/1978","96","We Are The Champions","Queen"
"04/08/1978","91","We Are The Champions","Queen"
"04/15/1978","91","We Are The Champions","Queen"
"04/22/1978","91","We Are The Champions","Queen"
"05/13/1978","87","It's Late","Queen"
"05/20/1978","77","It's Late","Queen"
"05/27/1978","74","It's Late","Queen"
"06/03/1978","74","It's Late","Queen"
"06/10/1978","99","It's Late","Queen"
"11/11/1978","70","Bicycle Race/Fat Bottomed Girls","Queen"
"11/18/1978","56","Bicycle Race/Fat Bottomed Girls","Queen"
"11/25/1978","45","Bicycle Race/Fat Bottomed Girls","Queen"
"12/02/1978","41","Bicycle Race/Fat Bottomed Girls","Queen"
"12/09/1978","31","Bicycle Race/Fat Bottomed Girls","Queen"
"12/16/1978","27","Bicycle Race/Fat Bottomed Girls","Queen"
"12/23/1978","25","Bicycle Race/Fat Bottomed Girls","Queen"
"12/30/1978","25","Bicycle Race/Fat Bottomed Girls","Queen"
"01/06/1979","25","Bicycle Race/Fat Bottomed Girls","Queen"
"01/13/1979","24","Bicycle Race/Fat Bottomed Girls","Queen"
"01/20/1979","59","Bicycle Race/Fat Bottomed Girls","Queen"
"01/27/1979","96","Bicycle Race/Fat Bottomed Girls","Queen"
"02/17/1979","87","Don't Stop Me Now","Queen"
"02/24/1979","87","Don't Stop Me Now","Queen"
"03/03/1979","86","Don't Stop Me Now","Queen"
"03/10/1979","97","Don't Stop Me Now","Queen"
"04/28/1979","94","Bang A Gong","Queen"
"05/05/1979","89","Bang A Gong","Queen"
"05/12/1979","79","Bang A Gong","Queen"
"05/19/1979","69","Bang A Gong","Queen"
"05/26/1979","68","Bang A Gong","Queen"
"06/02/1979","98","Bang A Gong","Queen"
"12/22/1979","58","Crazy Little Thing Called Love","Queen"
"12/29/1979","58","Crazy Little Thing Called Love","Queen"
"01/05/1980","43","Crazy Little Thing Called Love","Queen"
"01/12/1980","30","Crazy Little Thing Called Love","Queen"
"01/19/1980","18","Crazy Little Thing Called Love","Queen"
"01/26/1980","8","Crazy Little Thing Called Love","Queen"
"02/02/1980","5","Crazy Little Thing Called Love","Queen"
"02/09/1980","5","Crazy Little Thing Called Love","Queen"
"02/16/1980","2","Crazy Little Thing Called Love","Queen"
"02/23/1980","1","Crazy Little Thing Called Love","Queen"
"03/01/1980","1","Crazy Little Thing Called Love","Queen"
"03/08/1980","1","Crazy Little Thing Called Love","Queen"
"03/15/1980","1","Crazy Little Thing Called Love","Queen"
"03/22/1980","3","Crazy Little Thing Called Love","Queen"
"03/29/1980","3","Crazy Little Thing Called Love","Queen"
"04/05/1980","4","Crazy Little Thing Called Love","Queen"
"04/12/1980","8","Crazy Little Thing Called Love","Queen"
"04/19/1980","15","Crazy Little Thing Called Love","Queen"
"04/26/1980","27","Crazy Little Thing Called Love","Queen"
"05/03/1980","36","Crazy Little Thing Called Love","Queen"
"05/10/1980","67","Crazy Little Thing Called Love","Queen"
"05/17/1980","93","Crazy Little Thing Called Love","Queen"
"06/28/1980","67","Play The Game","Queen"
"07/05/1980","57","Play The Game","Queen"
"07/12/1980","51","Play The Game","Queen"
