Year,Rank,Song Title,Artist,Album
4/20/19,13,Shallow,Lady Gaga,A Star Is Born Soundtrack
4/27/19,16,Shallow,Lady Gaga,A Star Is Born Soundtrack
5/4/19,15,Shallow,Lady Gaga,A Star Is Born Soundtrack
5/11/19,15,Shallow,Lady Gaga,A Star Is Born Soundtrack
5/18/19,19,Shallow,Lady Gaga,A Star Is Born Soundtrack
5/25/19,22,Shallow,Lady Gaga,A Star Is Born Soundtrack
6/1/19,36,Shallow,Lady Gaga,A Star Is Born Soundtrack
6/8/19,37,Shallow,Lady Gaga,A Star Is Born Soundtrack
6/15/19,43,Shallow,Lady Gaga,A Star Is Born Soundtrack
6/22/19,34,Shallow,Lady Gaga,A Star Is Born Soundtrack
6/29/19,39,Shallow,Lady Gaga,A Star Is Born Soundtrack
7/6/19,42,Shallow,Lady Gaga,A Star Is Born Soundtrack
7/13/19,49,Shallow,Lady Gaga,A Star Is Born Soundtrack
7/20/19,45,Shallow,Lady Gaga,A Star Is Born Soundtrack
7/27/19,48,Shallow,Lady Gaga,A Star Is Born Soundtrack
8/3/19,47,Shallow,Lady Gaga,A Star Is Born Soundtrack
8/10/19,47,Shallow,Lady Gaga,A Star Is Born Soundtrack
8/17/19,49,Shallow,Lady Gaga,A Star Is Born Soundtrack
