Year,Rank,Song Title,Artist,Album
9/12/09,74,Paparazzi,Lady Gaga,A Night In Strings
9/12/09,99,Chillin,Lady Gaga,Attention Deficit
9/19/09,32,LoveGame,Lady Gaga,The Fame Monster
9/19/09,44,Paparazzi,Lady Gaga,A Night In Strings
9/19/09,49,Poker Face,Lady Gaga,The Fame Monster
9/26/09,18,Paparazzi,Lady Gaga,A Night In Strings
9/26/09,42,LoveGame,Lady Gaga,The Fame Monster
9/26/09,49,Poker Face,Lady Gaga,The Fame Monster
10/3/09,7,Paparazzi,Lady Gaga,A Night In Strings
10/3/09,43,Poker Face,Lady Gaga,The Fame Monster
10/10/09,7,Paparazzi,Lady Gaga,A Night In Strings
10/17/09,6,Paparazzi,Lady Gaga,A Night In Strings
10/24/09,7,Paparazzi,Lady Gaga,A Night In Strings
10/31/09,6,Paparazzi,Lady Gaga,A Night In Strings
11/7/09,6,Paparazzi,Lady Gaga,A Night In Strings
11/14/09,6,Paparazzi,Lady Gaga,A Night In Strings
11/14/09,9,Bad Romance,Lady Gaga,The Fame Monster
11/21/09,7,Paparazzi,Lady Gaga,A Night In Strings
11/21/09,18,Bad Romance,Lady Gaga,The Fame Monster
11/28/09,9,Paparazzi,Lady Gaga,A Night In Strings
11/28/09,11,Bad Romance,Lady Gaga,The Fame Monster
12/5/09,2,Bad Romance,Lady Gaga,The Fame Monster
12/5/09,8,Paparazzi,Lady Gaga,A Night In Strings
12/12/09,2,Bad Romance,Lady Gaga,The Fame Monster
12/12/09,11,Paparazzi,Lady Gaga,A Night In Strings
12/12/09,30,Telephone,Lady Gaga,The Fame Monster
12/12/09,65,Video Phone,Lady Gaga,Sing In The Style Of Beyonce
12/12/09,94,Speechless,Lady Gaga,The Fame Monster
12/19/09,2,Bad Romance,Lady Gaga,The Fame Monster
12/19/09,11,Paparazzi,Lady Gaga,A Night In Strings
12/19/09,41,Telephone,Lady Gaga,The Fame Monster
12/19/09,81,Video Phone,Lady Gaga,Sing In The Style Of Beyonce
12/26/09,3,Bad Romance,Lady Gaga,The Fame Monster
12/26/09,11,Paparazzi,Lady Gaga,A Night In Strings
12/26/09,46,Telephone,Lady Gaga,The Fame Monster
12/26/09,97,Video Phone,Lady Gaga,Sing In The Style Of Beyonce
1/2/10,3,Bad Romance,Lady Gaga,The Fame Monster
1/2/10,15,Paparazzi,Lady Gaga,A Night In Strings
1/2/10,38,Telephone,Lady Gaga,The Fame Monster
1/2/10,100,Video Phone,Lady Gaga,Sing In The Style Of Beyonce
1/9/10,3,Bad Romance,Lady Gaga,The Fame Monster
1/9/10,15,Paparazzi,Lady Gaga,A Night In Strings
1/9/10,37,Telephone,Lady Gaga,The Fame Monster
1/9/10,98,Video Phone,Lady Gaga,Sing In The Style Of Beyonce
1/16/10,2,Bad Romance,Lady Gaga,The Fame Monster
1/16/10,14,Paparazzi,Lady Gaga,A Night In Strings
1/16/10,37,Telephone,Lady Gaga,The Fame Monster
1/23/10,2,Bad Romance,Lady Gaga,The Fame Monster
1/23/10,22,Paparazzi,Lady Gaga,A Night In Strings
1/23/10,31,Telephone,Lady Gaga,The Fame Monster
1/30/10,2,Bad Romance,Lady Gaga,The Fame Monster
1/30/10,20,Telephone,Lady Gaga,The Fame Monster
