Year,Rank,Song Title,Artist(s)
12/1/79,29,Rock With You,Michael Jackson
12/1/79,64,Don't Stop 'til You Get Enough,Michael Jackson
12/8/79,21,Rock With You,Michael Jackson
12/8/79,84,Don't Stop 'til You Get Enough,Michael Jackson
12/15/79,12,Rock With You,Michael Jackson
12/15/79,98,Don't Stop 'til You Get Enough,Michael Jackson
12/22/79,11,Rock With You,Michael Jackson
12/29/79,11,Rock With You,Michael Jackson
1/5/80,3,Rock With You,Michael Jackson
1/12/80,2,Rock With You,Michael Jackson
1/19/80,1,Rock With You,Michael Jackson
1/26/80,1,Rock With You,Michael Jackson
2/2/80,1,Rock With You,Michael Jackson
2/9/80,1,Rock With You,Michael Jackson
2/16/80,5,Rock With You,Michael Jackson
2/16/80,53,Off The Wall,Michael Jackson
2/23/80,5,Rock With You,Michael Jackson
2/23/80,37,Off The Wall,Michael Jackson
3/1/80,8,Rock With You,Michael Jackson
3/1/80,33,Off The Wall,Michael Jackson
3/8/80,14,Rock With You,Michael Jackson
3/8/80,29,Off The Wall,Michael Jackson
3/15/80,20,Off The Wall,Michael Jackson
3/15/80,27,Rock With You,Michael Jackson
3/22/80,17,Off The Wall,Michael Jackson
3/22/80,30,Rock With You,Michael Jackson
3/29/80,14,Off The Wall,Michael Jackson
3/29/80,38,Rock With You,Michael Jackson
4/5/80,12,Off The Wall,Michael Jackson
4/5/80,54,Rock With You,Michael Jackson
4/12/80,10,Off The Wall,Michael Jackson
4/12/80,96,Rock With You,Michael Jackson
4/19/80,10,Off The Wall,Michael Jackson
4/19/80,57,She's Out Of My Life,Michael Jackson
4/26/80,16,Off The Wall,Michael Jackson
4/26/80,49,She's Out Of My Life,Michael Jackson
5/3/80,30,Off The Wall,Michael Jackson
5/3/80,41,She's Out Of My Life,Michael Jackson
5/10/80,30,She's Out Of My Life,Michael Jackson
5/10/80,59,Off The Wall,Michael Jackson
5/17/80,26,She's Out Of My Life,Michael Jackson
5/17/80,70,Off The Wall,Michael Jackson
5/24/80,19,She's Out Of My Life,Michael Jackson
5/24/80,100,Off The Wall,Michael Jackson
5/31/80,17,She's Out Of My Life,Michael Jackson
5/31/80,98,Off The Wall,Michael Jackson
6/7/80,12,She's Out Of My Life,Michael Jackson
6/7/80,100,Off The Wall,Michael Jackson
6/14/80,11,She's Out Of My Life,Michael Jackson
6/21/80,10,She's Out Of My Life,Michael Jackson
6/28/80,10,She's Out Of My Life,Michael Jackson
7/5/80,13,She's Out Of My Life,Michael Jackson
7/12/80,24,She's Out Of My Life,Michael Jackson
7/19/80,35,She's Out Of My Life,Michael Jackson
7/26/80,54,She's Out Of My Life,Michael Jackson
8/2/80,96,She's Out Of My Life,Michael Jackson
4/18/81,81,One Day In Your Life,Michael Jackson
4/25/81,70,One Day In Your Life,Michael Jackson
5/2/81,62,One Day In Your Life,Michael Jackson
5/9/81,58,One Day In Your Life,Michael Jackson
5/16/81,55,One Day In Your Life,Michael Jackson
5/23/81,68,One Day In Your Life,Michael Jackson
5/30/81,97,One Day In Your Life,Michael Jackson
11/6/82,45,The Girl Is Mine,Michael Jackson
11/13/82,36,The Girl Is Mine,Michael Jackson
11/20/82,14,The Girl Is Mine,Michael Jackson
11/27/82,9,The Girl Is Mine,Michael Jackson
12/4/82,8,The Girl Is Mine,Michael Jackson
12/11/82,5,The Girl Is Mine,Michael Jackson
12/18/82,4,The Girl Is Mine,Michael Jackson
12/25/82,3,The Girl Is Mine,Michael Jackson
1/1/83,3,The Girl Is Mine,Michael Jackson
1/8/83,2,The Girl Is Mine,Michael Jackson
1/15/83,2,The Girl Is Mine,Michael Jackson
1/22/83,2,The Girl Is Mine,Michael Jackson
1/22/83,47,Billie Jean,Michael Jackson
1/29/83,5,The Girl Is Mine,Michael Jackson
1/29/83,37,Billie Jean,Michael Jackson
2/5/83,16,The Girl Is Mine,Michael Jackson
2/5/83,27,Billie Jean,Michael Jackson
2/12/83,23,Billie Jean,Michael Jackson
2/12/83,34,The Girl Is Mine,Michael Jackson
2/19/83,6,Billie Jean,Michael Jackson
2/19/83,82,The Girl Is Mine,Michael Jackson
2/26/83,4,Billie Jean,Michael Jackson
2/26/83,78,Beat It,Michael Jackson
2/26/83,91,The Girl Is Mine,Michael Jackson
3/5/83,1,Billie Jean,Michael Jackson
3/5/83,65,Beat It,Michael Jackson
3/5/83,97,The Girl Is Mine,Michael Jackson
3/12/83,1,Billie Jean,Michael Jackson
3/12/83,44,Beat It,Michael Jackson
3/19/83,1,Billie Jean,Michael Jackson
3/19/83,24,Beat It,Michael Jackson
3/26/83,1,Billie Jean,Michael Jackson
3/26/83,15,Beat It,Michael Jackson
4/2/83,1,Billie Jean,Michael Jackson
4/2/83,14,Beat It,Michael Jackson
4/9/83,1,Billie Jean,Michael Jackson
4/9/83,10,Beat It,Michael Jackson
4/16/83,1,Billie Jean,Michael Jackson
4/16/83,5,Beat It,Michael Jackson
4/23/83,2,Beat It,Michael Jackson
4/23/83,5,Billie Jean,Michael Jackson
4/30/83,1,Beat It,Michael Jackson
4/30/83,7,Billie Jean,Michael Jackson
